,FEDFUNDS,CPI_INFLATION,GS10,SP500_RETURN,VIX,regime,regime_name
1990-02-28,8.24,0.0039215686274509,8.47,0.0085027913544831,21.989999771118164,1,stressed
1990-03-31,8.28,0.0046874999999999,8.59,0.0239655057797279,19.729999542236328,0,calm
1990-04-30,8.26,0.0023328149300156,8.79,-0.0272552123830893,19.520000457763672,0,calm
1990-05-31,8.18,0.0015515903801395,8.76,0.0880009787379116,17.3700008392334,0,calm
1990-06-30,8.29,0.0061967467079784,8.48,-0.0089260849102096,15.5,0,calm
1990-07-31,8.15,0.0046189376443417,8.47,-0.0052368467888153,21.11000061035156,1,stressed
1990-08-31,8.13,0.0084291187739462,8.75,-0.0990628154127713,29.899999618530273,1,stressed
1990-09-30,8.2,0.0068389057750759,8.89,-0.0525407104627689,29.11000061035156,1,stressed
1990-10-31,8.11,0.0067924528301888,8.72,-0.0067207460051146,30.040000915527344,2,crisis
1990-11-30,7.81,0.0022488755622187,8.39,0.0582068444450338,22.15999984741211,1,stressed
1990-12-31,7.31,0.0037397157816005,8.08,0.0245245568490667,26.3799991607666,1,stressed
1991-01-31,6.91,0.003725782414307,8.09,0.0406790242987477,20.90999984741211,1,stressed
1991-02-28,6.25,0.0007423904974017,7.85,0.065114458515776,21.229999542236328,1,stressed
1991-03-31,6.12,0.0,8.11,0.0219599383539182,16.8799991607666,0,calm
1991-04-30,5.91,0.0022255192878337,8.04,0.000319748237583,18.239999771118164,0,calm
1991-05-31,5.78,0.0037009622501851,8.07,0.0378784401054396,15.93000030517578,0,calm
1991-06-30,5.9,0.0029498525073747,8.28,-0.0490774658601491,19.549999237060547,0,calm
1991-07-31,5.82,0.0014705882352941,8.27,0.043882276316961,15.18000030517578,0,calm
1991-08-31,5.66,0.0029368575624082,7.9,0.0194582392017224,14.460000038146973,0,calm
1991-09-30,5.45,0.0029282576866764,7.65,-0.0193293498695597,15.850000381469728,0,calm
1991-10-31,5.21,0.0014598540145984,7.53,0.0117647596767396,15.479999542236328,0,calm
1991-11-30,4.81,0.0043731778425657,7.42,-0.0448966478087366,20.260000228881836,1,stressed
1991-12-31,4.43,0.0029027576197386,7.09,0.1057894932006552,19.309999465942383,0,calm
1992-01-31,4.03,0.0007235890014474,7.03,-0.0201249060419983,17.399999618530273,0,calm
